city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
cairo,20100524:0100,5,1,0.0,15.8,1.86,12.764280512928963,12.641578502953053,0.12270200997591019,0.0,0.0
cairo,20100524:0200,5,2,0.0,15.0,1.66,11.844424419105053,11.718694865703583,0.12572955340147018,0.0,0.0
cairo,20100524:0300,5,3,1.0,14.64,1.52,11.420691274106503,11.273784674704075,0.14690659940242767,0.31279999999999997,9.774999999999999e-05
cairo,20100524:0400,5,4,121.0,15.15,1.38,15.800675451755524,13.333171233534813,2.4675042182207108,37.8488,0.011827749999999998
cairo,20100524:0500,5,5,353.0,17.7,2.0,24.748614691197872,18.828931897878647,5.919682793319225,110.41839999999999,0.034505749999999995
cairo,20100524:0600,5,6,556.0,19.82,2.62,30.979487486183643,22.886512652039528,8.092974834144115,173.91679999999997,0.05434899999999999
cairo,20100524:0700,5,7,780.0,21.71,2.48,38.60397808253765,27.17256799340248,11.43141008913517,243.984,0.07624500000000001
cairo,20100524:0800,5,8,932.0,23.48,2.41,44.212550558149815,30.559077039361,13.653473518788815,291.52959999999996,0.09110299999999998
cairo,20100524:0900,5,9,1022.0,25.21,2.62,47.1685061044991,32.863512225449085,14.304993879050016,319.6816,0.09990049999999999
cairo,20100524:1000,5,10,1047.0,26.71,2.97,47.85621616989374,34.08942557871342,13.766790591180325,327.50160000000005,0.10234425000000001
cairo,20100524:1100,5,11,998.0,27.87,3.24,47.006798293441534,34.43412486463785,12.572673428803682,312.1744,0.09755449999999999
cairo,20100524:1200,5,12,875.0,28.69,3.45,44.63431132957339,33.91860803589225,10.715703293681145,273.70000000000005,0.08553125000000002
cairo,20100524:1300,5,13,704.0,29.12,3.72,41.00603684782982,32.665218859910965,8.340817987918854,220.21119999999996,0.06881599999999999
cairo,20100524:1400,5,14,491.0,29.17,3.93,36.54544301331043,30.837038438767195,5.708404574543238,153.58480000000003,0.04799525
cairo,20100524:1500,5,15,274.0,28.85,4.07,31.90486965700984,28.717536758631468,3.187332898378372,85.7072,0.026783500000000002
cairo,20100524:1600,5,16,66.0,28.07,4.28,27.123114205896854,26.298505924642086,0.8246082812547684,20.6448,0.0064515
cairo,20100524:1700,5,17,0.0,26.4,4.55,24.307829793542624,24.213656652718782,0.0941731408238411,0.0,0.0
cairo,20100524:1800,5,18,0.0,24.25,5.66,22.464487459510565,22.38142855465412,0.0830589048564434,0.0,0.0
cairo,20100524:1900,5,19,0.0,22.12,5.38,20.30745469033718,20.22338543087244,0.08406925946474075,0.0,0.0
cairo,20100524:2000,5,20,0.0,20.69,4.62,18.7160219065845,18.626039437949657,0.08998246863484383,0.0,0.0
cairo,20100524:2100,5,21,0.0,19.58,4.07,17.467381358146667,17.372520677745342,0.09486068040132523,0.0,0.0
cairo,20100524:2200,5,22,0.0,18.72,3.52,16.43870212137699,16.33815297856927,0.10054914280772209,0.0,0.0
cairo,20100524:2300,5,23,0.0,17.96,2.76,15.379425920546055,15.269446410238743,0.10997951030731201,0.0,0.0
cairo,20100525:0000,5,0,0.0,17.2,2.55,14.53323245048523,14.420696012675762,0.11253643780946732,0.0,0.0
cairo,20100525:0100,5,1,0.0,16.45,2.83,13.93356416374445,13.825541324913502,0.10802283883094788,0.0,0.0
cairo,20100525:0200,5,2,0.0,15.77,2.69,13.202757369726896,13.093189466744661,0.10956790298223495,0.0,0.0
cairo,20100525:0300,5,3,1.0,15.08,2.62,12.519376557320356,12.394380308687687,0.12499624863266945,0.31279999999999997,9.774999999999999e-05
cairo,20100525:0400,5,4,169.0,15.52,2.62,17.22682721912861,14.62560873478651,2.6012184843420982,52.8632,0.01651975
cairo,20100525:0500,5,5,393.0,18.0,3.93,23.83286338299513,19.140923768281937,4.691939614713192,122.93039999999998,0.03841574999999999
cairo,20100525:0600,5,6,609.0,20.37,4.9,29.178205765783787,22.918682508170605,6.259523257613182,190.4952,0.05952975
cairo,20100525:0700,5,7,797.0,23.45,4.69,35.72324302047491,27.410692665725946,8.312550354748964,249.3016,0.07790675
cairo,20100525:0800,5,8,952.0,25.51,4.41,40.97522251307964,30.767123643308878,10.208098869770765,297.7856,0.09305799999999999
cairo,20100525:0900,5,9,1028.0,27.25,4.34,44.15691712871194,33.094312343746424,11.062604784965515,321.5584,0.10048699999999999
cairo,20100525:1000,5,10,1020.0,28.73,4.28,45.54573165252805,34.50749920681119,11.038232445716858,319.0559999999999,0.09970499999999997
cairo,20100525:1100,5,11,983.0,29.91,4.0,46.613053642213345,35.57110019028187,11.041953451931477,307.4824,0.09608824999999999
cairo,20100525:1200,5,12,861.0,30.76,3.66,45.81381207332015,35.62938375398517,10.184428319334984,269.32079999999996,0.08416275
cairo,20100525:1300,5,13,690.0,31.23,3.45,43.206696920096874,34.725191313773394,8.48150560632348,215.832,0.0674475
cairo,20100525:1400,5,14,479.0,31.26,3.66,38.60521491616964,32.82947588711977,5.775739029049873,149.8312,0.046822249999999996
cairo,20100525:1500,5,15,269.0,30.83,3.86,33.8197429291904,30.602687746286392,3.217055182904005,84.14320000000001,0.026294750000000002
cairo,20100525:1600,5,16,70.0,29.87,3.79,28.89530122280121,27.965965252369642,0.9293359704315662,21.896,0.0068425000000000005
cairo,20100525:1700,5,17,0.0,28.12,3.59,25.68184819072485,25.576213132590055,0.10563505813479424,0.0,0.0
cairo,20100525:1800,5,18,0.0,26.5,4.48,24.38606195151806,24.29113421589136,0.09492773562669754,0.0,0.0
cairo,20100525:1900,5,19,0.0,24.11,4.97,22.168615218251944,22.079797834157944,0.08881738409399986,0.0,0.0
cairo,20100525:2000,5,20,0.0,22.49,4.62,20.48515371978283,20.394063219428062,0.09109050035476685,0.0,0.0
cairo,20100525:2100,5,21,0.0,21.19,4.34,19.129444137215614,19.036390148103237,0.09305398911237717,0.0,0.0
cairo,20100525:2200,5,22,0.0,20.17,4.28,18.110019583255053,18.016988784074783,0.09303079918026924,0.0,0.0
cairo,20100525:2300,5,23,0.0,19.36,4.14,17.272786982357502,17.178807742893696,0.09397923946380615,0.0,0.0
cairo,20100526:0000,5,0,0.0,18.71,4.07,16.613113656640053,16.518800426274538,0.09431323036551476,0.0,0.0
cairo,20100526:0100,5,1,0.0,18.21,4.07,16.122135017067194,16.02813672274351,0.09399829432368279,0.0,0.0
cairo,20100526:0200,5,2,0.0,17.83,4.14,15.770183149725199,15.677165314555168,0.0930178351700306,0.0,0.0
cairo,20100526:0300,5,3,1.0,17.6,4.07,15.54312739521265,15.437927078455687,0.10520031675696373,0.31279999999999997,9.774999999999999e-05
cairo,20100526:0400,5,4,128.0,18.34,3.86,18.81561629474163,17.195921018719673,1.6196952760219574,40.038399999999996,0.012511999999999999
cairo,20100526:0500,5,5,339.0,21.14,4.55,25.398509353399277,21.691935323178768,3.7065740302205086,106.03920000000001,0.03313725
cairo,20100526:0600,5,6,557.0,24.53,5.1,32.10008915513754,26.539430990815163,5.560658164322376,174.2296,0.05444675
cairo,20100526:0700,5,7,747.0,26.89,5.24,37.38943550735712,30.14300774782896,7.24642775952816,233.66160000000002,0.07301925
cairo,20100526:0800,5,8,882.0,29.74,5.24,42.33774859458208,33.8592173345387,8.478531260043383,275.8896,0.08621549999999999
cairo,20100526:0900,5,9,979.0,32.06,5.03,46.49435264989734,36.90826453268528,9.586088117212057,306.23119999999994,0.09569724999999998
cairo,20100526:1000,5,10,992.0,33.82,4.62,49.15098590776324,38.96489495411515,10.18609095364809,310.2976,0.09696799999999998
