city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
marseille,20170107:0600,1,6,0.0,3.18,4.83,1.4704690221697092,1.3903523609042168,0.08011666126549244,0.0,0.0
marseille,20170107:0700,1,7,0.0,3.35,5.31,1.741423076018691,1.6652305517345667,0.07619252428412437,0.0,0.0
marseille,20170107:0800,1,8,106.0,3.56,5.17,4.956425419077277,3.0843438114970922,1.872081607580185,0.0,0.0
marseille,20170107:0900,1,9,246.0,4.5,4.55,10.317450352013111,5.7391648925840855,4.578285459429026,0.0,0.0
marseille,20170107:1000,1,10,319.0,4.59,4.41,12.802276434376836,6.792026367038488,6.010250067338347,0.0,0.0
marseille,20170107:1100,1,11,386.0,5.68,4.41,15.937762996181846,8.714761370792985,7.223001625388861,0.0,0.0
marseille,20170107:1200,1,12,356.0,6.57,4.48,15.773743614554405,9.171154610812664,6.602589003741741,0.0,0.0
marseille,20170107:1300,1,13,355.0,7.23,3.79,17.33542920090258,10.071153566241264,7.264275634661317,0.0,0.0
marseille,20170107:1400,1,14,252.0,7.6,4.34,13.682709792628884,8.879842283204198,4.802867509424686,0.0,0.0
marseille,20170107:1500,1,15,122.0,7.55,4.41,9.507724018767476,7.1485784742981195,2.3591455444693565,0.0,0.0
marseille,20170107:1600,1,16,0.0,6.92,4.34,5.025488222017884,4.938425552099943,0.0870626699179411,0.0,0.0
marseille,20170107:1700,1,17,0.0,5.75,5.03,4.044301295652986,3.9643253199756145,0.07997597567737103,0.0,0.0
marseille,20170107:1800,1,18,0.0,5.14,6.07,3.646598197519779,3.575000576674938,0.071597620844841,0.0,0.0
marseille,20170107:1900,1,19,0.0,4.96,6.83,3.588849469088018,3.522275621071458,0.06657384801656008,0.0,0.0
marseille,20170107:2000,1,20,0.0,4.54,7.38,3.2494437927380204,3.1862625014036894,0.06318129133433104,0.0,0.0
marseille,20170107:2100,1,21,0.0,4.3,7.38,3.012481117621064,2.949429266154766,0.0630518514662981,0.0,0.0
marseille,20170107:2200,1,22,0.0,4.18,7.45,2.902928963303566,2.84032198600471,0.06260697729885578,0.0,0.0
marseille,20170107:2300,1,23,0.0,4.03,6.62,2.6403603050857782,2.573018977418542,0.06734132766723633,0.0,0.0
marseille,20170108:0000,1,0,0.0,4.01,6.55,2.6100326515734196,2.5422632042318583,0.06776944734156132,0.0,0.0
marseille,20170108:0100,1,1,0.0,4.03,6.48,2.618997022509575,2.550771227106452,0.0682257954031229,0.0,0.0
marseille,20170108:0200,1,2,0.0,4.07,6.41,2.6475147996097803,2.5788153801113367,0.0686994194984436,0.0,0.0
marseille,20170108:0300,1,3,0.0,4.16,6.41,2.7362720854580402,2.667521326802671,0.06875075865536928,0.0,0.0
marseille,20170108:0400,1,4,0.0,4.09,6.97,2.750253025442362,2.6849946985021234,0.06525832694023848,0.0,0.0
marseille,20170108:0500,1,5,0.0,4.23,8.07,3.0263277608901262,2.9668751265853643,0.05945263430476189,0.0,0.0
marseille,20170108:0600,1,6,0.0,4.46,9.17,3.3659980865195394,3.3113577403128147,0.054640346206724644,0.0,0.0
marseille,20170108:0700,1,7,0.0,4.72,10.14,3.706405838020146,3.655369565822184,0.05103627219796181,0.0,0.0
marseille,20170108:0800,1,8,35.0,5.14,10.97,4.759001457132399,4.371399623341858,0.3876018337905407,0.0,0.0
marseille,20170108:0900,1,9,118.0,5.94,11.1,6.902655926533043,5.723346662707627,1.1793092638254166,0.0,0.0
marseille,20170108:1000,1,10,199.0,7.26,10.48,9.626291035674512,7.58208716288209,2.0442038727924228,0.0,0.0
marseille,20170108:1100,1,11,227.0,7.46,10.21,10.357342148199677,7.9852145770564675,2.37212757114321,0.0,0.0
marseille,20170108:1200,1,12,348.0,7.87,9.93,12.961000679060817,9.27902551367879,3.6819751653820276,0.0,0.0
marseille,20170108:1300,1,13,312.0,8.18,9.66,12.727952036075294,9.348737895488739,3.379214140586555,0.0,0.0
marseille,20170108:1400,1,14,268.0,8.62,9.72,12.349901860579848,9.452959643676877,2.8969422169029713,0.0,0.0
marseille,20170108:1500,1,15,126.0,8.37,9.86,9.53944431617856,8.161421385593712,1.378022930584848,0.0,0.0
marseille,20170108:1600,1,16,0.0,7.82,9.52,6.721368823200464,6.666518980637193,0.05484984256327152,0.0,0.0
marseille,20170108:1700,1,17,0.0,6.93,8.9,5.782625721767545,5.725625241175294,0.057000480592250824,0.0,0.0
marseille,20170108:1800,1,18,0.0,6.33,7.66,5.052322237752378,4.989686086773872,0.06263615097850561,0.0,0.0
marseille,20170108:1900,1,19,0.0,5.81,6.48,4.374489784240723,4.305251482874155,0.06923830136656761,0.0,0.0
marseille,20170108:2000,1,20,0.0,5.47,5.79,3.9221205562353134,3.848330769687891,0.07378978654742241,0.0,0.0
marseille,20170108:2100,1,21,0.0,4.95,5.52,3.358800890855491,3.2832903135567904,0.07551057729870081,0.0,0.0
marseille,20170108:2200,1,22,0.0,5.39,5.1,3.7054319586604834,3.6262710206210613,0.07916093803942204,0.0,0.0
marseille,20170108:2300,1,23,0.0,5.44,4.69,3.6603689566254616,3.577579203993082,0.08278975263237953,0.0,0.0
marseille,20170109:0000,1,0,0.0,5.46,4.55,3.6453758366405964,3.5612723883241415,0.08410344831645489,0.0,0.0
marseille,20170109:0100,1,1,0.0,5.2,3.79,3.175618052482605,3.0838879197835922,0.09173013269901276,0.0,0.0
marseille,20170109:0200,1,2,0.0,5.16,3.93,3.1795215886086226,3.0893530137836933,0.09016857482492924,0.0,0.0
marseille,20170109:0300,1,3,0.0,5.06,4.69,3.2866688538342714,3.204117901623249,0.08255095221102238,0.0,0.0
marseille,20170109:0400,1,4,0.0,4.82,4.97,3.1158099230378866,3.035894315689802,0.07991560734808445,0.0,0.0
marseille,20170109:0500,1,5,0.0,4.66,5.03,2.971703354269266,2.8924002312123775,0.07930312305688858,0.0,0.0
marseille,20170109:0600,1,6,0.0,4.43,4.97,2.7320620138198137,2.6523878797888756,0.07967413403093815,0.0,0.0
marseille,20170109:0700,1,7,0.0,4.5,4.76,2.7526491787284613,2.671084264293313,0.08156491443514824,0.0,0.0
marseille,20170109:0800,1,8,41.0,4.81,4.34,4.266118202358484,3.4029929526150227,0.8631252497434616,0.0,0.0
marseille,20170109:0900,1,9,99.0,5.51,3.79,6.9139782804995775,4.791166726499796,2.1228115539997816,0.0,0.0
marseille,20170109:1000,1,10,195.0,5.94,4.34,10.272908369079232,6.5187496319413185,3.7541587371379137,0.0,0.0
marseille,20170109:1100,1,11,351.0,6.81,5.52,14.71967464312911,9.02414514683187,5.69552949629724,0.0,0.0
marseille,20170109:1200,1,12,418.0,7.51,6.14,16.52825518976897,10.247258869931102,6.280996319837868,0.0,0.0
marseille,20170109:1300,1,13,348.0,7.97,6.48,14.95709122158587,9.901979928836226,5.055111292749643,0.0,0.0
marseille,20170109:1400,1,14,257.0,8.19,7.17,12.639178256504238,9.141855696216226,3.497322560288012,0.0,0.0
marseille,20170109:1500,1,15,127.0,8.23,7.86,9.643947989679873,7.992819617502391,1.6511283721774817,0.0,0.0
marseille,20170109:1600,1,16,0.0,7.88,8.83,6.714806538075209,6.657024072483182,0.05778246559202671,0.0,0.0
marseille,20170109:1700,1,17,0.0,7.09,9.45,5.992972385138273,5.938194547779858,0.05477783735841513,0.0,0.0
marseille,20170109:1800,1,18,0.0,6.29,10.21,5.265919044613838,5.21440738812089,0.05151165649294853,0.0,0.0
marseille,20170109:1900,1,19,0.0,5.88,10.55,4.886373709887266,4.836241332814097,0.050132377073168755,0.0,0.0
marseille,20170109:2000,1,20,0.0,5.5,10.62,4.515383075922728,4.465660760179162,0.04972231574356556,0.0,0.0
marseille,20170109:2100,1,21,0.0,5.42,11.31,4.484805539250374,4.437345047481358,0.04746049176901579,0.0,0.0
marseille,20170109:2200,1,22,0.0,5.2,10.69,4.2235061805695295,4.174154223874211,0.04935195669531822,0.0,0.0
marseille,20170109:2300,1,23,0.0,5.36,10.28,4.350911746732891,4.300078712403774,0.050833034329116344,0.0,0.0
marseille,20170110:0000,1,0,0.0,5.54,10.0,4.506710018031299,4.454784030094743,0.05192598793655634,0.0,0.0
marseille,20170110:0100,1,1,0.0,5.66,9.24,4.559346213936806,4.504409143701196,0.05493707023561001,0.0,0.0
marseille,20170110:0200,1,2,0.0,5.55,8.62,4.390059793367982,4.332510195672512,0.057549597695469856,0.0,0.0
marseille,20170110:0300,1,3,0.0,5.66,8.34,4.469210626557469,4.410315193235874,0.05889543332159519,0.0,0.0
marseille,20170110:0400,1,4,0.0,5.84,8.14,4.624986830167472,4.565041046589613,0.0599457835778594,0.0,0.0
marseille,20170110:0500,1,5,0.0,5.5,7.59,4.2239848570898175,4.161420874297619,0.06256398279219866,0.0,0.0
marseille,20170110:0600,1,6,0.0,5.75,7.24,4.425587793812156,4.3609718745574355,0.06461591925472021,0.0,0.0
marseille,20170110:0700,1,7,0.0,5.78,6.76,4.387615006417036,4.320156658068299,0.06745834834873676,0.0,0.0
marseille,20170110:0800,1,8,107.0,6.07,6.21,7.283019982278347,5.61933871358633,1.6636812686920166,0.0,0.0
marseille,20170110:0900,1,9,251.0,6.51,5.52,11.727039106190205,7.618715614080429,4.1083234921097755,0.0,0.0
